HOST_NEIGHBOURHOOD_LGA,NUMBER_OF_DISTINCT_HOST,AVG_ESTIMATED_REVENUE,AVG_ESTIMATED_REVENUE_PER_HOST
Armidale Regional,1,1800,1800
Bathurst Regional,10,10024.40554,1002.440554
Bayside,882,2463.050467,2.792574225
Burwood,169,1750.169486,10.35603246
Canada Bay,204,3507.461659,17.1934395
Canterbury-Bankstown,280,1641.002006,5.860721451
Cumberland,4,748.3976311,187.0994078
Dungog,49,3070.945455,62.67235622
Georges River,132,1947.129246,14.75097914
Hawkesbury,5,855.5639098,171.112782
Hunters Hill,65,3613.851641,55.59771755
Inner West,1676,5389.981643,3.215979501
Lake Macquarie,1,2212.928571,2212.928571
Lane Cove,223,3048.79021,13.67170498
Mosman,267,7660.875702,28.69241836
North Sydney,724,3549.761245,4.902985145
Northern Beaches,1347,7548.823317,5.604174697
Parramatta,63,1294.081633,20.5409783
Randwick,1798,6331.159291,3.521223188
Ryde,17,1965.147651,115.5969206
Singleton,72,2721.117647,37.79330065
Strathfield,58,2131.863179,36.75626171
Sutherland Shire,121,4074.231343,33.67133342
Sydney,4318,3430.562047,0.794479399
Upper Hunter Shire,118,3822.336126,32.39267903
Waverley,3096,5654.040596,1.826240503
Willoughby,222,3286.727983,14.80508101
Woollahra,585,5168.630589,8.835265963
,10766,4097.081657,0.380557464
Armidale Regional,1,1800,1800
Bathurst Regional,9,10399.25788,1155.473098
Bayside,866,2524.584304,2.91522437
Burwood,165,1761.498558,10.67574884
Canada Bay,201,3030.462032,15.07692554
Canterbury-Bankstown,278,1685.729633,6.063775659
Cumberland,4,827.7081218,206.9270305
Dungog,47,3059.403846,65.09369885
Georges River,126,2342.077227,18.5879145
Hawkesbury,5,855.3383459,171.0676692
Hunters Hill,66,3661.787836,55.48163388
Inner West,1644,5604.581781,3.409113006
Lake Macquarie,1,2212.857143,2212.857143
Lane Cove,222,3426.047345,15.4326457
Mid-Western Regional,1,228,228
Mosman,264,7388.782504,27.98781252
North Sydney,706,3935.500828,5.574363779
Northern Beaches,1334,7865.517546,5.896190064
Parramatta,61,1300.249115,21.31555927
Randwick,1792,4103.688397,2.290004686
Ryde,18,2048.308682,113.7949268
Singleton,69,2675.325,38.77282609
Strathfield,57,2260.970954,39.66615709
Sutherland Shire,116,4166.265539,35.91608223
Sydney,4265,3534.589885,0.828743232
Upper Hunter Shire,117,3726.538024,31.85075234
Waverley,3064,5807.833805,1.895507117
Willoughby,216,3383.136452,15.66266876
Woollahra,581,6377.809325,10.9772966
,10651,4249.454825,0.398972381
Armidale Regional,1,1800,1800
Bathurst Regional,10,9664.337017,966.4337017
Bayside,837,2319.334339,2.771008768
Burwood,159,1592.809434,10.0176694
Canada Bay,194,2988.741969,15.40588644
Canterbury-Bankstown,275,1797.633371,6.536848622
Cumberland,4,768.4934383,192.1233596
Dungog,44,2981.897959,67.77040816
Georges River,125,2267.613258,18.14090607
Hawkesbury,6,830.9493671,138.4915612
Hunters Hill,64,3761.380814,58.77157522
Inner West,1611,3691.148039,2.291215418
