LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Bayside,1/05/2020,15367,0,86,182.0148515,1220,13.6757,92.058485,,,926970,2461.658416
Blacktown,1/05/2020,1099,23,63,90.30188679,239,11.9497,89.920398,,,199540,1037.927673
Burwood,1/05/2020,2440,15,70,148.5498155,169,8.1181,89.480663,,,27690,2000.214022
Camden,1/05/2020,350,35,85,107.6326531,41,22.449,94.366667,,,15150,1183.734694
Campbelltown,1/05/2020,2500,20,75,156.2857143,75,28.5714,91.933333,,,64750,1291.731092
Canada Bay,1/05/2020,2440,24,110,154.1659483,384,10.1293,92.894915,,,151691,2836.644397
Canterbury-Bankstown,1/05/2020,1000,12,71,96.47336378,502,11.5677,90.634615,,,375375,1336.185693
Cumberland,1/05/2020,14999,15,100,162.6237113,409,14.7766,92.057471,,,160860,3174.429553
Fairfield,1/05/2020,501,20,76,102.3541667,56,7.2917,89.633803,,,26726,1127.552083
Georges River,1/05/2020,3500,0,80,125.9182692,312,13.9423,92.166038,,,125001,1955.209135
Hornsby,1/05/2020,5000,20,91,152.1376344,338,21.9355,93.490196,,,257754,2004.350538
Hunters Hill,1/05/2020,2440,35,183,325.5740741,54,7.4074,94.972222,,,6546,7110.240741
Inner West,1/05/2020,9022,15,106,186.1645518,2010,15.1453,93.437041,,,1031320,3745.191158
Lane Cove,1/05/2020,3000,35,110,239.0727848,249,12.6582,92.097222,,,49275,4419.93038
Liverpool,1/05/2020,586,15,99,125.4675325,113,22.0779,91.226415,,,76262,1766.337662
Mosman,1/05/2020,15309,31,199,477.1843137,370,14.1176,94.801187,,,10787,9153.460784
North Sydney,1/05/2020,10000,21,139,221.3325926,1036,15.4074,93.92356,,,350337,3852.506667
Northern Beaches,1/05/2020,7654,12,200,349.3325397,4152,17.1627,95.152373,,,6135879,6747.822817
Parramatta,1/05/2020,3000,14,87,166.8743802,427,12.7273,90.673913,,,342805,2362.502479
Penrith,1/05/2020,1500,25,111.5,145.2865169,116,24.1573,95.573529,,,57550,1364.44382
Randwick,1/05/2020,10001,5,119,197.3533354,2606,9.9299,92.470057,,,1134600,4169.027414
Ryde,1/05/2020,2546,20,90,143.7896936,518,14.7632,92.715447,,,153153,2401.759053
Strathfield,1/05/2020,1000,15,69.5,123.4230769,157,14.9038,88.542254,,,7194,2077.1875
